Year,Month,Day,Timeline,Passengers,Morning Commute,Evening Commute,Late Night,Annual seasonal outiler,Lotte World,Lotte World Mall,Day_Friday,Day_Thursday,Day_Wednesday,Day_Monday,Day_Sunday,Day_Saturday,Day_Tuesday,Day_Holiday
2025,8,2,14,11671,0,1,0,0,1,1,0,0,1,0,0,0,0,0
2025,8,2,15,8666,0,0,0,0,1,1,0,0,1,0,0,0,0,0
2025,8,2,16,7385,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2025,8,2,17,6972,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025,8,2,18,2465,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2025,8,2,19,510,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2025,8,3,0,563,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2025,8,3,1,2942,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2025,8,3,2,8179,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2025,8,3,3,14624,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2025,8,3,4,11031,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2025,8,3,5,6933,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2025,8,3,6,6579,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2025,8,3,7,6429,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2025,8,3,8,6617,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2025,8,3,9,6916,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2025,8,3,10,7799,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2025,8,3,11,9145,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2025,8,3,12,12681,0,1,0,0,1,1,0,1,0,0,0,0,0,0
2025,8,3,13,18641,0,1,0,0,1,1,0,1,0,0,0,0,0,0
2025,8,3,14,11684,0,1,0,0,1,1,0,1,0,0,0,0,0,0
2025,8,3,15,8940,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2025,8,3,16,8295,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2025,8,3,17,6218,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2025,8,3,18,2802,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2025,8,3,19,661,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2025,8,4,0,601,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2025,8,4,1,2935,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025,8,4,2,8110,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2025,8,4,3,13482,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2025,8,4,4,10592,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2025,8,4,5,6804,0,0,0,0,1,1,1,0,0,0,0,0,0,0
2025,8,4,6,6599,0,0,0,0,1,1,1,0,0,0,0,0,0,0
2025,8,4,7,6863,0,0,0,0,1,1,1,0,0,0,0,0,0,0
2025,8,4,8,6860,0,0,0,0,1,1,1,0,0,0,0,0,0,0
2025,8,4,9,7332,0,0,0,0,1,1,1,0,0,0,0,0,0,0
2025,8,4,10,8694,0,0,0,0,1,1,1,0,0,0,0,0,0,0
2025,8,4,11,10346,0,0,0,0,1,1,1,0,0,0,0,0,0,0
2025,8,4,12,14408,0,1,0,0,1,1,1,0,0,0,0,0,0,0
2025,8,4,13,19876,0,1,0,0,1,1,1,0,0,0,0,0,0,0
2025,8,4,14,12128,0,1,0,0,1,1,1,0,0,0,0,0,0,0
2025,8,4,15,8551,0,0,0,0,1,1,1,0,0,0,0,0,0,0
2025,8,4,16,7870,0,0,0,0,1,1,1,0,0,0,0,0,0,0
2025,8,4,17,7140,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025,8,4,18,3840,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2025,8,4,19,1082,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2025,8,5,0,433,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2025,8,5,1,1690,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025,8,5,2,2189,0,0,0,0,0,0,0,0,0,0,0,1,0,0
